Prospect Name,Prospect Type,Channel,Group URL,FB Group ID / Slug,State / Region,Public / Private,Members,Member Count Numeric,Segment,Fit Score,Risk Score,Priority,Promo Rule Clue,Promotions Allowed,Posting Box Visible,Campaign ID,Poster Variant,Caption Family,Tracking Link,Outreach Status,Suggested Wave,Notes
Deer Antler Galore USA Only us,Facebook Group,Facebook Groups,https://facebook.com/groups/694939719376803,694939719376803,US / Antler,Public,8.1K,8100,Shed / Antler,3,3,B - Later,Buy/sell/antler/shed emphasis,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-shed,Not Posted,Wave 3,"Antler/rack hunting, not core deer camp culture"
Virginia Whitetail Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/183606771659718,183606771659718,Virginia,Private,2.5K,2500,State Deer Hunting,5,3,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-va,Not Posted,Wave 1,"Screenshot title on browser suggested U.P. Deer Hunters in one tab, but actual displayed group was U.P. Deer Hunters in earlier batch; verify name if importing."
Kansas Whitetails,Facebook Group,Facebook Groups,https://facebook.com/groups/196385137098524,196385137098524,Kansas,Private,12.2K,12200,State Deer Hunting,5,3,A - Pilot,Visible raffle/promo post,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 1,Strong whitetail fit; active group
Minnesota Dive Bars,Facebook Group,Facebook Groups,https://facebook.com/groups/mndivebars,mndivebars,Minnesota,Private,48.0K,48000,Tavern / Adjacent,2,3,Hold,"Bar/dive bar group, not deer-specific",Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-mn,Not Posted,Hold,"Hold for tavern partner outreach, not deer hunter launch"
Wisco Dive Bars Reviews,Facebook Group,Facebook Groups,,,Wisconsin,Unknown,,,Tavern / Adjacent,2,3,Hold,Not deer-specific,Unknown,Unknown,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-wi,Not Posted,Hold,Hold for tavern partner channel
I grew up in Wisconsin,Facebook Group,Facebook Groups,https://facebook.com/groups/lovewisconsin,lovewisconsin,Wisconsin,Public,21.0K,21000,Local Nostalgia,2,3,Hold,"Local nostalgia, not deer-specific",Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-wi,Not Posted,Hold,Could work only with very soft WI nostalgia angle
Ontario Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/21269360426,21269360426,Ontario / Canada,Public,2.7K,2700,Regional Hunting,4,2,B+,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 2,Good hunting story fit; Canada region
Hunting in the South,Facebook Group,Facebook Groups,https://facebook.com/groups/329513074200628,329513074200628,South / United States,Public,6.8K,6800,Regional Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-south,Not Posted,Wave 1,Strong deer/turkey hunting fit
Pennsylvania Deer Wars,Facebook Group,Facebook Groups,https://facebook.com/groups/252496137522587,252496137522587,Pennsylvania,Public,4.9K,4900,State Hunting / Conservation,4,2,B+,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-pa,Not Posted,Wave 2,PA hunting/conservation audience
Arkansas & Louisiana - Archery & Gun Deer Hunting,Facebook Group,Facebook Groups,https://facebook.com/groups/433887246813722,433887246813722,Arkansas / Louisiana,Public,4.9K,4900,Regional Deer Hunting,5,5,Remove - No Promo,About says no adds/no ads,No,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-south,Not Posted,Do Not Post,Avoid unless admin approval is granted
Whitetail Hunters Of America,Facebook Group,Facebook Groups,https://facebook.com/groups/230806400683656,230806400683656,United States,Public,6.5K,6500,Whitetail Culture,5,3,A/B,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 2,Strong national whitetail fit
deer antlers for sale,Facebook Group,Facebook Groups,https://facebook.com/groups/1142749429243328,1142749429243328,International / Antler,Public,7.0K,7000,Shed / Antler / Marketplace,2,4,Remove - Poor Fit,Sales group; location mismatch,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-shed,Not Posted,Do Not Post,Not a good direct camp-builder audience
Long Island Deer Hunting,Facebook Group,Facebook Groups,https://facebook.com/groups/longislanddeerhunting,longislanddeerhunting,New York / Long Island,Public,17.7K,17700,Regional Deer Hunting,5,3,A/B,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 2,Strong local deer hunting/mentoring fit
iowa shed hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/1875708149385084,1875708149385084,Iowa,Public,8.9K,8900,Shed / Antler,3,3,B - Later,Shed-specific,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-ia,Not Posted,Wave 3,Use later with shed-season memories angle
INDIANA Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/224708496936054,224708496936054,Indiana,Public,2.1K,2100,State Deer Hunting,5,3,A/B,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-in,Not Posted,Wave 2,Strong whitetail/deer hunting fit
Hunting World,Facebook Group,Facebook Groups,https://facebook.com/groups/1262409165705266,1262409165705266,United States,Public,1.4K,1400,Broad Hunting,3,4,C - Hold,Commercial posts visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Hold,Low priority broad group
All Iowa Deer,Facebook Group,Facebook Groups,https://facebook.com/groups/155204444513937,155204444513937,Iowa,Public,2.1K,2100,State Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-ia,Not Posted,Wave 1,Excellent Iowa deer-camp fit
Michigan Habitat & Deer gear,Facebook Group,Facebook Groups,https://facebook.com/groups/2051503001821658,2051503001821658,Michigan,Public,3.9K,3900,Habitat / Gear,3,5,Admin Ask,About says NO DEALERS,Admin Ask,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-mi,Not Posted,Admin Permission First,Avoid direct posting unless approved
Northern Minnesota Hunting,Facebook Group,Facebook Groups,https://facebook.com/groups/northernminnesotahunting,northernminnesotahunting,Minnesota,Public,1.6K,1600,Regional Hunting,4,2,B+,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-mn,Not Posted,Wave 2,Regional MN hunting fit
Heart of Texas Trophy Whitetails,Facebook Group,Facebook Groups,https://facebook.com/groups/143604035654838,143604035654838,Texas,Public,6.4K,6400,Trophy / Breeder,3,4,Hold,Breeder/business oriented,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-tx,Not Posted,Hold,Not core camp-builder segment
USA Compound Bow Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/434349368057174,434349368057174,United States,Public,3.4K,3400,Archery,3,3,B - Later,Compound bow-only,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 3,Use later with archery/camp angle
Virginia Deer N Dog Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/997920086899861,997920086899861,Virginia,Public,5.8K,5800,Tracking / Dog Recovery,3,3,B - Later,Dog hunting niche,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-va,Not Posted,Wave 3,Use recovery-story/field-memory angle
Ohio Deer Trackers,Facebook Group,Facebook Groups,https://facebook.com/groups/ohiodeertrackers,ohiodeertrackers,Ohio,Public,10.0K,10000,Tracking / Dog Recovery,3,3,B - Later,Recovery/tracking dog group,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-oh,Not Posted,Wave 3,Use recovery-story angle later
Virginia Whitetail Deer Hunters VAWDH,Facebook Group,Facebook Groups,https://facebook.com/groups/VAWDH,VAWDH,Virginia,Public,48.2K,48200,State Deer Hunting,5,3,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-va,Not Posted,Wave 1,Excellent large whitetail group
PENNSYLVANIA HUNTERS EST. 1787,Facebook Group,Facebook Groups,https://facebook.com/groups/485310802081650,485310802081650,Pennsylvania,Public,10.5K,10500,State Hunting,4,2,A/B,No firearm sales/discussion,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-pa,Not Posted,Wave 2,Good PA fit; avoid firearm language
WV Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/165840784023,165840784023,West Virginia,Public,7.2K,7200,State Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-va,Not Posted,Wave 1,Strong deer management/hunting fit
The Whitetail Shooters,Facebook Group,Facebook Groups,https://facebook.com/groups/TheWhitetailShooters,TheWhitetailShooters,United States,Public,2.7K,2700,Whitetail Culture,4,3,B+,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 2,"Good whitetail fit, less camp/community language"
Wisconsin Public Land Hunter,Facebook Group,Facebook Groups,https://facebook.com/groups/555749477965001,555749477965001,Wisconsin,Public,9.5K,9500,Public Land / State Deer,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-wi,Not Posted,Wave 1,Excellent WI/public land fit
Wellston/Irons Deer Hunting and Fishing,Facebook Group,Facebook Groups,https://facebook.com/groups/247375193969871,247375193969871,Michigan / Wellston-Irons,Public,2.1K,2100,Regional Deer Hunting,5,2,A/B,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-mi,Not Posted,Wave 2,Local camp-region fit
National Deer Association - Coulee Country Branch,Facebook Group,Facebook Groups,https://facebook.com/groups/ndacouleecountrybranch,ndacouleecountrybranch,Wisconsin,Public,746,746,Conservation / Organization,4,3,Admin Ask,Org-affiliated,Admin Ask,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-wi,Not Posted,Admin Permission First,Ask admin before posting
Christian Deer Hunters Association,Facebook Group,Facebook Groups,https://facebook.com/groups/287649392494,287649392494,United States,Public,630,630,Values-Based Hunting,3,3,C - Hold,Values-based/small group,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Hold,Not first wave
Texas Deer Hunts,Facebook Group,Facebook Groups,https://facebook.com/groups/texasdeerhunts,texasdeerhunts,Texas,Public,9.8K,9800,State Deer Hunting / Hunts,4,4,B - Later,Hunt/outfitter skew,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-tx,Not Posted,Wave 3,"Good audience, promo clutter possible"
Hunting Deer PH,Facebook Group,Facebook Groups,https://facebook.com/groups/469059802809524,469059802809524,Philippines / International,Public,1.9K,1900,International Hunting,1,5,Remove - Poor Fit,Poor US deer camp fit,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Do Not Post,Remove from direct campaign
Tennessee Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/tennesseedeerhunters,tennesseedeerhunters,Tennessee,Public,11.8K,11800,State Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-tn,Not Posted,Wave 1,Excellent Tennessee fit
Cheap Deer Hunts US,Facebook Group,Facebook Groups,https://facebook.com/groups/deerhuntingusa,deerhuntingusa,United States,Public,10.1K,10100,Discount Hunts / Marketplace,2,5,Remove - Poor Fit,Marketplace/cheap hunts angle,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Do Not Post,Avoid first campaign
Ohio Whitetail Deer 2,Facebook Group,Facebook Groups,https://facebook.com/groups/600145643751465,600145643751465,Ohio,Public,71.9K,71900,State Deer Hunting,5,3,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-oh,Not Posted,Wave 1,Huge Ohio whitetail audience
Run'n Gun Whitetail Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/364231890656397,364231890656397,United States,Public,94.3K,94300,Whitetail Culture,5,4,A - Careful Pilot,Very large official/forum group,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 1B - Careful Large Group,High upside; careful founder feedback only
Land Between the Lakes(Deer Hunting),Facebook Group,Facebook Groups,https://facebook.com/groups/807618958840807,807618958840807,Kentucky/Tennessee LBL,Public,6.1K,6100,Regional Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-tn,Not Posted,Wave 1,Very strong regional deer hunting community
The real TN Deer Hunters.,Facebook Group,Facebook Groups,https://facebook.com/groups/310013434147998,310013434147998,Tennessee,Public,1.4K,1400,State Deer Hunting,4,2,B+,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-tn,Not Posted,Wave 2,Smaller but relevant TN group
Deer Hunters Of America,Facebook Group,Facebook Groups,https://facebook.com/groups/836539919857086,836539919857086,United States,Public,8.3K,8300,Broad Deer Hunting,4,3,B+,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 2,Broad national fit
Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/2375620426098374,2375620426098374,United States,Public,28.0K,28000,Broad Deer Hunting,4,3,B+,About says not buy/sell,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 2,Large but generic
Deer Hunters of Maine,Facebook Group,Facebook Groups,https://facebook.com/groups/207619969572750,207619969572750,Maine,Public,5.8K,5800,State Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-me,Not Posted,Wave 1,Excellent state-specific group
Michigan deer hunting,Facebook Group,Facebook Groups,https://facebook.com/groups/michigandeerhunters,michigandeerhunters,Michigan,Public,10.6K,10600,State Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-mi,Not Posted,Wave 1,Excellent MI state fit
Middle Tennessee Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/850221831654693,850221831654693,Tennessee,Public,3.2K,3200,Regional Deer Hunting,4,4,B - Later,Visible exotic animal sale post,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-tn,Not Posted,Wave 3,Mixed audience/moderation
"Deer Processing Butchering Wild, Deer Hunting Lover",Facebook Group,Facebook Groups,https://facebook.com/groups/1250270679524099,1250270679524099,Unknown,Public,4.0K,4000,Processing / Low Trust,2,5,Remove - Poor Fit,"Odd wording, low trust",Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-venison,Not Posted,Do Not Post,Remove or hold
Minnesota Antler Addicts,Facebook Group,Facebook Groups,https://facebook.com/groups/786677418487167,786677418487167,Minnesota,Public,1.8K,1800,Shed / Antler,3,3,B - Later,Shed/antler niche,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-mn,Not Posted,Wave 3,Use shed-season angle later
West Tennessee Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/186691638084496,186691638084496,Tennessee,Public,13.9K,13900,State Deer Hunting,5,3,A - Pilot,Some buy/sell behavior visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-tn,Not Posted,Wave 1,Strong TN regional fit
North American Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/americanhunters808,americanhunters808,North America,Public,19.5K,19500,Broad Hunting,2,5,Remove - Poor Fit,Off-topic/low-quality visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Do Not Post,Remove or hold
Whitetail deer mounts of America,Facebook Group,Facebook Groups,https://facebook.com/groups/815041789557460,815041789557460,United States,Public,4.0K,4000,Taxidermy / Mounts,2,4,Hold,Mount/taxidermy niche,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-trophy,Not Posted,Hold,Better for taxidermy/trophy segment
Iowa Orange Army ( Deer Gun Hunters ),Facebook Group,Facebook Groups,https://facebook.com/groups/1233868757191883,1233868757191883,Iowa,Public,2.4K,2400,State Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-ia,Not Posted,Wave 1,Excellent Iowa deer gun/camp fit
Deer Processing/Butchering,Facebook Group,Facebook Groups,https://facebook.com/groups/263646996701192,263646996701192,United States,Public,28.3K,28300,Processing / Butchering,3,3,B - Partner Angle,Processing-focused,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-venison,Not Posted,Wave 3,Use processor/recipe angle later
Indiana Deer Hunting,Facebook Group,Facebook Groups,https://facebook.com/groups/409786809479086,409786809479086,Indiana,Public,3.5K,3500,State Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-in,Not Posted,Wave 1,Clean Indiana deer hunting fit
PA Whitetail,Facebook Group,Facebook Groups,https://facebook.com/groups/1789258731701354,1789258731701354,Pennsylvania,Public,2.4K,2400,State Deer Hunting,5,2,A/B,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-pa,Not Posted,Wave 2,Good PA whitetail audience
Deer Mounts of America,Facebook Group,Facebook Groups,https://facebook.com/groups/deermountsofamerica,deermountsofamerica,United States,Public,174.0K,174000,Taxidermy / Mounts,3,4,Hold,Mount/taxidermy focus,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-trophy,Not Posted,Hold,"Huge, but better for trophy/story angle"
Missouri Whitetail Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/123089483364,123089483364,Missouri,Public,41.3K,41300,State Deer Hunting,5,3,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-mo,Not Posted,Wave 1,Strong state whitetail group
Deer Age and Score Page,Facebook Group,Facebook Groups,https://facebook.com/groups/1662261417399732,1662261417399732,United States,Public,222.4K,222400,Age / Score / Trophy,4,4,A - Careful Pilot,Large specialty group,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 1B - Careful Large Group,Huge audience; soft feedback/story angle only
Wisconsin whitetail community,Facebook Group,Facebook Groups,https://facebook.com/groups/2068310330064384,2068310330064384,Wisconsin,Public,8.0K,8000,State Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-wi,Not Posted,Wave 1,Excellent WI community/camp fit
Nebraska Deer Hunting,Facebook Group,Facebook Groups,https://facebook.com/groups/219483804899402,219483804899402,Nebraska,Public,24.0K,24000,State Deer Hunting,5,3,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-ne,Not Posted,Wave 1,Strong state deer fit
Iowa Public Hunting,Facebook Group,Facebook Groups,https://facebook.com/groups/47355181005271,47355181005271,Iowa,Public,19.6K,19600,Public Land / State Hunting,4,3,A/B,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-ia,Not Posted,Wave 2,Strong public hunting audience
Public Land Whitetails,Facebook Group,Facebook Groups,https://facebook.com/groups/404482059600758,404482059600758,United States,Public,233.3K,233300,Public Land / Whitetail,5,4,A - Careful Pilot,Very large specialty group,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-publicland,Not Posted,Wave 1B - Careful Large Group,Huge upside; careful founder feedback only
Wisconsin Rut Freaks&Hunting Report,Facebook Group,Facebook Groups,https://facebook.com/groups/1021129531353009,1021129531353009,Wisconsin,Public,22.3K,22300,State Deer Hunting / Rut Report,5,2,A - Pilot,About says no belittling/off-topic,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-wi,Not Posted,Wave 1,Excellent WI seasonal/report audience
Wisconsin Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/282750178505813,282750178505813,Wisconsin,Public,9.6K,9600,State Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-wi,Not Posted,Wave 1,Strong core Wisconsin fit
Deer Hunting Community,Facebook Group,Facebook Groups,https://facebook.com/groups/324840869560481,324840869560481,United States,Public,24.4K,24400,Broad Deer Hunting,4,3,B+,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 2,Good but generic
Minnesota deer hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/300278830168272,300278830168272,Minnesota,Private,30.1K,30100,State Deer Hunting,5,3,A - Pilot,Private group; approval risk,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-mn,Not Posted,Wave 1,Strong MN fit
Ohio Duck and Deer,Facebook Group,Facebook Groups,https://facebook.com/groups/508111485967387,508111485967387,Ohio,Public,2.4K,2400,Mixed Duck/Deer / Buy-Sell,3,4,Hold,Buy/sell tab and mixed focus,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-oh,Not Posted,Hold,Not first wave
Deer Hunting,Facebook Group,Facebook Groups,https://facebook.com/groups/587914446434428,587914446434428,United States,Public,118.6K,118600,Broad Deer Hunting,4,4,B - Careful Later,Very large generic group,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 3,Better after controlled tests
Wisconsin Hunting And Food Plotting,Facebook Group,Facebook Groups,https://facebook.com/groups/219671555299890,219671555299890,Wisconsin,Public,4.7K,4700,Food Plot / Habitat,4,3,B+,Habitat/product-adjacent,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-wi,Not Posted,Wave 2,Good WI later-wave fit
DEER HUNTERS OF THE NORTH,Facebook Group,Facebook Groups,https://facebook.com/groups/291284030979449,291284030979449,Minnesota / North,Public,2.7K,2700,Northern Deer Hunting,4,3,B - Later,Political/wolf-management tone,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-mn,Not Posted,Wave 3,Use cautiously
Iowa Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/408979432809273,408979432809273,Iowa,Public,7.8K,7800,State Deer Hunting,5,3,A - Pilot,Buy/sell/share allowed,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-ia,Not Posted,Wave 1,Strong Iowa audience; promo-tolerant but use soft copy
